Springfield Brewing Company,16th Anniversary Stout,39oXMx,American-Style Stout,,
Big River Grille & Brewing Works,16th Avenue Pilsner,bClbFg,Bohemian-Style Pilsener,5,32
Perennial Artisan Ales,17,44neoC,American-Style Imperial Stout,10,
Red Brick Brewing Company,17 Anniversary,s95tMN,Wood- and Barrel-Aged Beer,8.5,
Stone Brewing Co.,17 Anniversary Götterdämmerung IPA,w6nBIz,American-Style India Pale Ale,9.5,102
Castle Danger Brewery,17-7 Pale Ale,G04CsX,American-Style Pale Ale,5.8,
Broad Street Brewing Company,175,e6qtst,American-Style Lager,4.2,
Vintage 50 Restaurant and Brew Lounge,1757 Amber Lager,sCCrPg,Dortmunder / European-Style Export,6,
La Souche,1759,zbqrEX,Extra Special Bitter,4.4,
Pigeon Head Brewery,1762 Russian Imperial Stout,KoVgES,American-Style Imperial Stout,,
Pigeon Hill Brewing Company,1762 Russian Imperial Stout,x8EUNt,American-Style Imperial Stout,9,90
vyturio Alaus Darykla,1784 Anniversary Beer,8hpyCl,Specialty Beer,5.4,
New American Brewing Co.,1789 Porter,9D2uSa,Robust Porter,6.7,35
7th Settlement Brewery,1792 State Capital Milk Stout,6sF5dv,Sweet or Cream Stout,6,29
Dublin Brewing,1798 Revolution,I0eJhr,English-Style India Pale Ale,,
SweetWater Brewing Company,17th Saison,LcpeBb,French & Belgian-Style Saison,9,
Amsterdam Brewing Company,18 Hands Pale Ale,9IWEuD,American-Style Pale Ale,5,
603 Brewery,18 Mile Ale,cG6leo,Rye Ale or Lager with or without Yeast,6.6,
Custom Brewcrafters Inc.,1803 Fat Ox Ale,aeeemz,Old Ale,,
Homestead Beer Co.,1805 IPA,AE0Qmm,American-Style India Pale Ale,6,60
Professor Fritz Briem,1809,vpqpqA,Berliner-Style Weisse (Wheat),5,
Doemens e.V.,1809,Rl8hib,Berliner-Style Weisse (Wheat),5,
Fort George Brewery,1811 Lager,9XmyZr,Indigenous Beer (Lager or Ale),5.1,
Sackets Harbor Brewing Company,1812 Amber Ale,kWXWGC,American-Style Amber/Red Ale,5.2,
Sackets Harbor Brewing Company,1812 Light,MqGKPd,German-Style Kölsch / Köln-Style Kölsch,5.2,
Bluejacket,1812 Project,cf8LBF,Brown Porter,5.8,36
Chocolate City Beer,1814 ESB,wevPSI,Extra Special Bitter,6.1,17
Chattanooga Brewing Company,1816 Black Lager,u5WJsW,Wood- and Barrel-Aged Dark Beer,4.7,27
Yellowhammer Brewery,1819,TBNKmt,Belgian-Style Dubbel,7.4,
Texian Brewing Co,1824,WYKUyD,Belgian-Style Dark Strong Ale,12.2,
Greenbush Brewing Co,1825,bpPaLC,Belgian-Style Pale Strong Ale,9.3,
Atwater Brewery,1834 Corktown Rye,0tIDxS,Rye Ale or Lager with or without Yeast,6.8,
Buffalo Bayou Brewing Company,1836,SC48ZG,American-Style Amber/Red Ale,6,40
Unibroue,1837,VLwX03,Other Belgian-Style Ales,7,
Bohemian Brewery,1842 Czech Pilsener,SJTtiL,Bohemian-Style Pilsener,4,32
Fuller Smith & Turner PBC,1845 Celebration Ale,Y2RzRP,Strong Ale,,
Lavery Brewing Company,1847 Rye Stout,lTDXBE,American-Style Stout,6.8,50
New Glory Craft Brewery,1849,mL6yFm,California Common Beer,5,32
ChuckAlek Independent Brewers,1850 Runner,piINy9,Brown Porter,6.3,32
Pensacola Bay Brewery,1854,fzzxsW,American-Style Pilsener,4.8,30
Double Horn Brewing Company,1855 Pale Ale,yCo3Ci,American-Style Pale Ale,,
Augusta Brewing Co,1856 IPA,ilFQn8,American-Style India Pale Ale,6.8,
Zeunerts,1857,VOzdzW,American-Style Low-Carbohydrate Light Lager,,
Birra Forst,1857,j8sDQf,German-Style Leichtbier,4.8,
Listermann Brewing Company,186000 MPS Malt Liquor,3wVSu9,,10.5,
Land-Grant Brewing Company,1862 Ale,XdLHAW,Session Beer,4.9,33
Turtle Anarchy Brewing Company,1864,OsA5NP,Smoke Beer (Lager or Ale),,
South Bend Brew Werks,1865 Amber,lRH6Tm,American-Style Amber Lager,4.8,32.2
Chicago Beer Company,1871 Black IPA,NYMMGA,English-Style Dark Mild Ale,5.5,50
Bier Brewery & Taproom,1871 Stout,51ykAY,American-Style Stout,5.9,26
